Date Time; Lifetime;ADC1; StdADC1; T1; StdT1;T2; StdT2;T3; StdT3;Rn1;Rn2;Rn3;Rn4;ADC2; StdADC2; ADC3; StdADC3; Counter1;Counter2;FluxSlope;FluxOffset;ADC2Slope;ADC2Offset;ADC3Slope;ADC3Offset;Temp1Slope;Temp1Offset;Temp2Slope;Temp2Offset;Temp3Slope;Temp3Offset;Counter1Slope;Counter1Offset;Counter2Slope;Counter2Offset;ID 
21.04.2016 08:30:00; 1798; 1695.943; 10.92; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 3653; 92; 208; 94; 0.0; 0.0; 0.0; 0.006; 5.0; 16.0; 23.63672; -33.93199; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.00001; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1_Heidelberg; 
21.04.2016 08:00:00; 1799; 1695.776; 10.665; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 3817; 92; 184; 94; 0.0; 0.0; 0.0; 0.006; 5.0; 16.0; 23.63672; -33.93199; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.00001; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1_Heidelberg; 
21.04.2016 07:30:00; 1798; 1698.495; 10.863; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2403; 60; 170; 94; 0.0; 0.0; 0.0; 0.006; 5.0; 16.0; 23.63672; -33.93199; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.00001; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1_Heidelberg; 
21.04.2016 07:00:00; 1799; 1701.762; 10.84; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1803; 51; 156; 94; 0.0; 0.0; 0.0; 0.006; 5.0; 16.0; 23.63672; -33.93199; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.00001; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1_Heidelberg; 
21.04.2016 06:30:00; 1798; 1702.857; 10.989; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1746; 42; 166; 94; 0.0; 0.0; 0.0; 0.006; 5.0; 16.0; 23.63672; -33.93199; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.00001; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1_Heidelberg; 
21.04.2016 06:00:00; 1799; 1702.246; 11.011; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1669; 41; 188; 94; 0.0; 0.0; 0.0; 0.006; 5.0; 16.0; 23.63672; -33.93199; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.00001; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1_Heidelberg; 
21.04.2016 05:30:00; 1798; 1701.245; 10.851; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1518; 46; 195; 94; 0.0; 0.0; 0.0; 0.006; 5.0; 16.0; 23.63672; -33.93199; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.00001; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1_Heidelberg; 
21.04.2016 05:00:00; 1799; 1700.809; 10.954; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1406; 30; 196; 94; 0.0; 0.0; 0.0; 0.006; 5.0; 16.0; 23.63672; -33.93199; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.00001; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1_Heidelberg; 
21.04.2016 04:30:00; 1798; 1700.938; 10.607; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1378; 36; 177; 94; 0.0; 0.0; 0.0; 0.006; 5.0; 16.0; 23.63672; -33.93199; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.00001; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1_Heidelberg; 
21.04.2016 04:00:00; 1799; 1701.245; 10.712; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1392; 45; 183; 94; 0.0; 0.0; 0.0; 0.005; 5.0; 16.0; 23.63672; -33.93199; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.00001; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1_Heidelberg; 
21.04.2016 03:30:00; 1798; 1701.046; 10.932; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1397; 41; 208; 94; 0.0; 0.0; 0.0; 0.006; 5.0; 16.0; 23.63672; -33.93199; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.00001; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1_Heidelberg; 
21.04.2016 03:00:00; 1799; 1700.971; 10.817; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1318; 32; 164; 94; 0.0; 0.0; 0.0; 0.006; 5.0; 16.0; 23.63672; -33.93199; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.00001; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1_Heidelberg; 
21.04.2016 02:30:00; 1798; 1700.635; 10.989; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1337; 42; 169; 94; 0.0; 0.0; 0.0; 0.006; 5.0; 16.0; 23.63672; -33.93199; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.00001; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1_Heidelberg; 
